Project Name,Subscription,Billing Subscription,Project Created,Description,Client,Volume (GB),All Files Total File Count,All Files Monthly File Count,Total Documents Reviewed,Monthly Documents Reviewed,Third Party Users,Max Raw Entity Count
Entity List Phonetic Match (dont delete),Data Mining,Data Mining,2022/04/28 07:54 AM,Entity List Phonetic Match (dont delete),POC,0,0,0,0,0,18,0
entity prop,Data Mining,Data Mining,2024/03/28 10:09 AM,test,,0.05,162,0,5,5,18,0
Entity prop Ishwari,Data Mining,Data Mining,2023/02/15 12:15 PM,,,0,0,0,0,0,18,0
Entity Prop_DO NOT USE,Data Mining,Data Mining,2023/02/08 02:30 PM,,,0,0,0,0,0,18,0
entity prop_shrutika,Data Mining,Data Mining,2023/02/07 07:04 AM,,,0.06,1117,0,10,10,18,0
entity propagation cypress (dont delete),Data Mining,Data Mining,2023/02/10 07:53 AM,entity propagation cypress (dont delete) used for automation,poc,0,52,0,0,0,18,0
Entity Propagation Cypress Automation,Data Mining,Data Mining,2023/09/20 08:52 AM,Do Not Delete Edit - automation project,poc,0,3,0,0,0,19,0
Entity propagation_1234,Data Mining,Data Mining,2023/02/15 02:27 PM,,,0,0,0,0,0,18,0
entity relation- 14th july ,Data Mining,Data Mining,2021/07/14 02:43 PM,,,0,0,0,0,0,18,0
Entity Suggestion project 29Aug 1,Data Mining,Data Mining,2024/08/29 11:10 AM,Entity Suggestion project 29Aug 1,poc,0,25,0,0,0,18,2
Entity_Prop_Demo2,Data Mining,Data Mining,2023/02/16 11:35 AM,,,0,0,0,0,0,18,0
entity_prop_test,Data Mining,Data Mining,2023/02/16 11:39 AM,,,0,0,0,0,0,18,0
EntityProp_1,Data Mining,Data Mining,2023/02/10 10:22 AM,,,0,0,0,0,0,18,0
EntityProp_2,Data Mining,Data Mining,2023/02/10 10:30 AM,,,0,0,0,0,0,18,0
ERD Stuff,Data Mining,Data Mining,2023/06/16 08:00 AM,ERD Stuff,,0.29,66,0,0,0,18,0
Error msgs check,Data Mining,Data Mining,2022/10/18 05:40 PM,,,0,0,0,0,0,18,0
Excel reading issue DBR-3728,Data Mining,Data Mining,2022/09/16 07:54 AM,Excel reading issue DBR-3728,poc,0,0,0,0,0,18,0
fail upload,Data Mining,Data Mining,2024/05/17 07:43 AM,,,0,3,0,0,0,18,0
fail upload large size file (dont delete),Data Mining,Data Mining,2022/04/21 05:44 AM,fail upload large size file (dont delete),POC - Cypress,0,0,0,0,0,18,0
faker1,Data Mining,Data Mining,2024/03/22 07:33 AM,faker1,,0.55,21043,0,0,0,18,0
familysCount,Data Mining,Data Mining,2024/04/08 11:47 AM,,,0.4,4891,0,0,0,18,0
FE-369_A blank project,Deleted,Deleted,2021/04/01 12:19 PM,FE-369_A blank project,abc,0,0,0,0,0,18,0
Feedback f1 dont use- updated,Data Mining,Data Mining,2024/06/26 06:29 AM,,,0,26,0,0,0,18,0
Feedback f1 Dont use-updated,Data Mining,Data Mining,2024/06/26 06:37 AM,,,0,28,0,0,0,18,0
Felipe Pipeline Test,Data Mining,Data Mining,2024/09/10 02:52 PM,,,1.03,153,153,0,0,18,0
Field Normalization - suggested tab (don't delete),Data Mining,Data Mining,2022/04/07 07:31 AM,Field Normalization - suggested tab (don't delete),POC,0,17,0,0,0,18,0
fieldsetting,Data Mining,Data Mining,2023/05/23 08:22 AM,test field setting,,0,0,0,0,0,18,0
fieldSettingTest,Data Mining,Data Mining,2023/05/24 08:30 AM,,,0,0,0,0,0,18,0
Filter test,Data Mining,Data Mining,2022/08/05 05:49 AM,,,0,0,0,0,0,18,0
Floating Button Project,Data Mining,Data Mining,2024/07/01 06:28 AM,,,0,7,0,0,0,18,0
For DB_Schema_Path,Data Mining,Data Mining,2023/06/27 04:09 PM,For DB_Schema_Path,,0.4,116,0,1,1,18,0
Forcing unique project names,Data Mining,Data Mining,2022/11/18 04:42 PM,Forcing unique project names,,0,0,0,0,0,18,0
ForDB_SchemaIssueFix_NewProject,Data Mining,Data Mining,2023/06/27 12:17 PM,ForDB_SchemaIssueFix_NewProject,,0.41,120,0,0,0,18,0
from to ,Deleted,Deleted,2021/04/07 12:53 PM,,,0,0,0,0,0,18,0
GDPR (don't delete),Data Mining,Data Mining,2021/06/16 01:48 PM,add all countries data for gdpr,,0,0,0,0,0,18,0
general1,Deleted,Deleted,2021/04/09 01:39 PM,general1,poc,0,0,0,0,0,18,0
German SIN,Data Mining,Data Mining,2023/04/12 09:11 AM,,,0,12,0,0,0,18,0
